epoch,train_loss,train_top1,test_top1,best_top1,closest_top1,learning_rate,epoch_seconds,elapsed_seconds
159,0.17586634,93.623992,63.861618,76.718093,76.718093,0.0458161078,4.805212,781.850170
160,0.18009946,93.750000,63.908368,76.718093,76.718093,0.0452945843,4.776319,786.669213
161,0.14565424,94.455645,63.534362,76.718093,76.718093,0.0447735768,4.817256,791.534495
162,0.13935463,94.556452,70.079476,76.718093,76.718093,0.0442531425,4.932681,796.519374
163,0.12083028,95.236895,62.038336,76.718093,76.718093,0.0437333383,4.808047,801.373170
164,0.13513214,94.884073,63.487611,76.718093,76.718093,0.0432142214,4.971393,806.386406
165,0.15536450,93.901210,67.788686,76.718093,76.718093,0.0426958486,4.804057,811.220033
166,0.13111353,95.262097,66.526414,76.718093,76.718093,0.0421782767,4.888692,816.150164
167,0.11206962,95.942540,66.760168,76.718093,76.718093,0.0416615627,4.876526,821.069386
168,0.12478628,95.791331,72.230014,76.718093,76.718093,0.0411457630,4.862838,825.997267
169,0.10693071,96.345766,64.516129,76.718093,76.718093,0.0406309343,4.816102,830.859879
170,0.13074720,95.488911,55.913978,76.718093,76.718093,0.0401171330,5.061341,835.969626
171,0.16615373,93.951613,64.001870,76.718093,76.718093,0.0396044155,4.789907,840.806044
172,0.15422802,94.581653,74.941561,76.718093,76.718093,0.0390928379,4.857042,845.715264
173,0.12087450,95.942540,64.516129,76.718093,76.718093,0.0385824565,4.821205,850.567755
174,0.10052939,96.698589,70.126227,76.718093,76.718093,0.0380733271,5.230184,855.843533
175,0.11927351,95.463710,62.599345,76.718093,76.718093,0.0375655056,4.976710,860.873859
176,0.10089382,96.295363,66.105657,76.718093,76.718093,0.0370590477,4.828626,865.758329
177,0.12096773,95.942540,71.014493,76.718093,76.718093,0.0365540090,4.746610,870.548691
178,0.09355306,96.925403,62.505844,76.718093,76.718093,0.0360504447,4.778186,875.387427
179,0.11018635,96.194556,61.196821,76.718093,76.718093,0.0355484102,4.882977,880.313445
180,0.09110042,96.673387,68.489949,76.718093,76.718093,0.0350479604,4.713340,885.069805
181,0.09646022,96.572581,69.705470,76.718093,76.718093,0.0345491503,4.778135,889.890549
182,0.09388307,96.421371,62.879850,76.718093,76.718093,0.0340520345,4.820029,894.740795
183,0.08509923,97.127016,67.414680,76.718093,76.718093,0.0335566677,4.892139,899.681453
184,0.10202513,96.547379,57.176251,76.718093,76.718093,0.0330631040,4.893635,904.627274
185,0.09029224,96.824597,70.126227,76.718093,76.718093,0.0325713976,4.732900,909.520343
186,0.08171914,97.253024,73.024778,76.718093,76.718093,0.0320816025,4.754320,914.326045
187,0.07936147,97.479839,70.266480,76.718093,76.718093,0.0315937724,4.908852,919.282716
188,0.07354385,97.479839,64.422627,76.718093,76.718093,0.0311079607,4.892485,924.235302
189,0.08599297,97.076613,67.227676,76.718093,76.718093,0.0306242207,4.747821,929.016507
190,0.07216206,97.530242,71.622253,76.718093,76.718093,0.0301426055,4.793893,933.849266
191,0.05916155,97.757056,76.157083,76.718093,76.718093,0.0296631678,4.827591,938.720134
192,0.05731133,98.185484,67.461431,76.718093,76.718093,0.0291859604,4.868334,943.636899
193,0.06110298,97.933468,71.388499,76.718093,76.718093,0.0287110354,4.903911,948.581480
194,0.05821465,98.034274,64.983637,76.718093,76.718093,0.0282384450,4.902029,953.533976
195,0.07301849,97.303427,68.957457,76.718093,76.718093,0.0277682410,4.915123,958.490074
196,0.05634798,98.185484,70.967742,76.718093,76.718093,0.0273004750,4.914924,963.455086
197,0.05533803,98.387097,65.077139,76.718093,76.718093,0.0268351982,4.793023,968.284407
198,0.05282510,98.185484,73.258532,76.718093,76.718093,0.0263724618,4.809079,973.141066
199,0.05677183,97.757056,62.225339,76.718093,76.718093,0.0259123163,4.906746,978.078316
200,0.05738405,97.958669,73.632539,76.718093,76.718093,0.0254548123,4.846445,982.967298
201,0.05243090,98.084677,69.985975,76.718093,76.718093,0.0250000000,4.924299,987.934487
202,0.04206153,98.513105,68.910706,76.718093,76.718093,0.0245479292,4.856537,992.837233
203,0.05713916,97.908266,69.237962,76.718093,76.718093,0.0240986495,5.070258,997.950240
204,0.05674257,98.185484,70.406732,76.718093,76.718093,0.0236522102,5.091255,1003.070714
205,0.05729625,98.235887,67.087424,76.718093,76.718093,0.0232086603,4.912125,1008.023629
206,0.04180268,98.538306,71.949509,76.718093,76.718093,0.0227680482,5.032019,1013.101731
207,0.05276641,98.109879,59.700795,76.718093,76.718093,0.0223304225,4.938418,1018.081875
208,0.05661692,97.883065,71.201496,76.718093,76.718093,0.0218958311,4.999117,1023.124132
209,0.03512510,98.941532,72.744273,76.718093,76.718093,0.0214643216,4.780104,1027.949883
210,0.04641539,98.613911,72.276765,76.718093,76.718093,0.0210359414,4.690979,1032.684175
211,0.04455194,98.613911,68.443198,76.718093,76.718093,0.0206107374,4.785846,1037.511349
212,0.02947087,99.143145,69.985975,76.718093,76.718093,0.0201887563,4.812219,1042.388260
213,0.03266920,99.042339,73.726040,76.718093,76.718093,0.0197700443,4.753043,1047.189324
214,0.02682556,99.117944,67.227676,76.718093,76.718093,0.0193546473,4.879841,1052.117314
215,0.02398239,99.294355,73.679289,76.718093,76.718093,0.0189426110,5.018897,1057.182354
216,0.03017763,99.143145,71.294998,76.718093,76.718093,0.0185339804,4.898860,1062.116128
217,0.02898725,99.067540,72.978027,76.718093,76.718093,0.0181288005,4.836212,1067.019931
218,0.02428251,99.369960,68.630201,76.718093,76.718093,0.0177271156,4.896111,1071.958753
219,0.02799981,99.017137,71.248247,76.718093,76.718093,0.0173289698,4.827059,1076.832539
220,0.02034329,99.294355,73.352034,76.718093,76.718093,0.0169344067,4.923614,1081.785708
221,0.02144954,99.319556,73.071529,76.718093,76.718093,0.0165434697,4.862332,1086.685806
222,0.02112265,99.269153,72.136512,76.718093,76.718093,0.0161562015,4.876972,1091.609237
223,0.02115213,99.445565,71.107994,76.718093,76.718093,0.0157726447,4.843404,1096.482004
224,0.02277989,99.319556,73.679289,76.718093,76.718093,0.0153928413,4.806585,1101.334146
225,0.02051015,99.470766,73.819542,76.718093,76.718093,0.0150168330,4.706580,1106.094172
226,0.01491477,99.621976,70.359981,76.718093,76.718093,0.0146446609,5.066175,1111.210850
227,0.01811277,99.470766,73.118280,76.718093,76.718093,0.0142763660,4.868089,1116.110058
228,0.01766261,99.495968,71.435250,76.718093,76.718093,0.0139119886,4.984041,1121.130655
229,0.01726828,99.470766,70.500234,76.718093,76.718093,0.0135515686,5.060393,1126.235659
