epoch,train_loss,train_top1,test_top1,best_top1,closest_to_reference_top1,learning_rate,epoch_seconds,elapsed_seconds
150,2.54964586,36.155849,53.640000,54.370000,54.370000,0.0505235892,8.737505,1321.533166
151,2.54112448,36.542468,51.950000,54.370000,54.370000,0.0500000000,8.878327,1330.453516
152,2.53456042,36.478365,52.110000,54.370000,54.370000,0.0494764108,8.813268,1339.312549
153,2.52544285,36.688702,52.820000,54.370000,54.370000,0.0489528790,8.732449,1348.089241
154,2.53675624,36.632612,54.230000,54.370000,54.370000,0.0484294620,8.798421,1356.930190
155,2.52864492,36.578526,54.270000,54.370000,54.370000,0.0479062173,8.928426,1365.900962
156,2.54197228,36.434295,49.190000,54.370000,54.370000,0.0473832022,8.797604,1374.730797
157,2.52237921,36.678686,52.500000,54.370000,54.370000,0.0468604740,8.681100,1383.454655
158,2.51668609,36.822917,52.690000,54.370000,54.370000,0.0463380901,8.611408,1392.097018
159,2.50783051,37.003205,52.580000,54.370000,54.370000,0.0458161078,8.873366,1401.013320
160,2.50067708,37.471955,55.140000,55.140000,55.140000,0.0452945843,8.691020,1409.733350
161,2.50071135,37.165465,52.760000,55.140000,55.140000,0.0447735768,8.833393,1418.670486
162,2.50325485,37.227564,53.560000,55.140000,55.140000,0.0442531425,8.807127,1427.506270
163,2.50440836,37.367788,54.700000,55.140000,55.140000,0.0437333383,8.826565,1436.376136
164,2.49790011,37.403846,55.710000,55.710000,55.710000,0.0432142214,8.606562,1445.025862
165,2.48674193,37.610176,54.410000,55.710000,55.710000,0.0426958486,8.785617,1454.171293
166,2.49363893,37.592147,54.330000,55.710000,55.710000,0.0421782767,8.837250,1463.048078
167,2.47862592,37.600160,52.000000,55.710000,55.710000,0.0416615627,8.860409,1471.939034
168,2.46600476,38.038862,54.250000,55.710000,55.710000,0.0411457630,8.851806,1480.820176
169,2.46493609,37.962740,56.190000,56.190000,56.190000,0.0406309343,8.757476,1489.606650
170,2.46804397,38.173077,53.340000,56.190000,56.190000,0.0401171330,8.747782,1498.437858
171,2.46538958,37.870593,53.640000,56.190000,56.190000,0.0396044155,8.644003,1507.111177
172,2.44504315,38.385417,53.930000,56.190000,56.190000,0.0390928379,8.535466,1515.689201
173,2.44780654,38.595753,52.170000,56.190000,56.190000,0.0385824565,8.623592,1524.341589
174,2.43991191,38.679888,55.140000,56.190000,56.190000,0.0380733271,8.680271,1533.054191
175,2.43918796,38.425481,54.410000,56.190000,56.190000,0.0375655056,8.735656,1541.832711
176,2.43045453,38.900240,54.950000,56.190000,56.190000,0.0370590477,8.700306,1550.575232
177,2.42897398,38.719952,54.340000,56.190000,56.190000,0.0365540090,8.752500,1559.356827
178,2.41545826,39.120593,56.700000,56.700000,56.700000,0.0360504447,8.880141,1568.277709
179,2.42109765,38.910256,54.830000,56.700000,56.700000,0.0355484102,8.799464,1577.169873
180,2.42249471,38.864183,56.720000,56.720000,56.720000,0.0350479604,8.870103,1586.069187
181,2.40383768,39.469151,57.070000,57.070000,57.070000,0.0345491503,8.748836,1594.904767
182,2.40556771,39.154647,55.590000,57.070000,57.070000,0.0340520345,8.625111,1603.604169
183,2.38715315,39.739583,55.620000,57.070000,57.070000,0.0335566677,8.738614,1612.372970
184,2.40140917,39.473157,56.020000,57.070000,57.070000,0.0330631040,8.497829,1620.912792
185,2.39623396,39.330929,58.340000,58.340000,58.340000,0.0325713976,8.590916,1629.533752
186,2.38238661,39.905849,56.600000,58.340000,58.340000,0.0320816025,8.647492,1638.262393
187,2.37561788,39.747596,55.200000,58.340000,58.340000,0.0315937724,8.807761,1647.112250
188,2.36824858,40.434696,57.380000,58.340000,58.340000,0.0311079607,8.923751,1656.065416
189,2.36409779,40.298478,58.570000,58.570000,58.570000,0.0306242207,8.709966,1664.802511
190,2.36331339,40.018029,55.620000,58.570000,58.570000,0.0301426055,8.742867,1673.642578
191,2.36033913,40.378606,57.110000,58.570000,58.570000,0.0296631678,8.653532,1682.338775
192,2.34529541,40.576923,56.090000,58.570000,58.570000,0.0291859604,8.608542,1690.975806
193,2.34583320,40.639022,58.160000,58.570000,58.570000,0.0287110354,8.903022,1699.908259
194,2.33524565,40.879407,56.490000,58.570000,58.570000,0.0282384450,8.663393,1708.600863
195,2.33900482,40.983574,57.680000,58.570000,58.570000,0.0277682410,8.938542,1717.583053
196,2.32350323,41.129808,56.410000,58.570000,58.570000,0.0273004750,8.607643,1726.220633
197,2.31845210,41.306090,57.160000,58.570000,58.570000,0.0268351982,8.622044,1734.872897
198,2.32418360,41.187901,57.320000,58.570000,58.570000,0.0263724618,8.600331,1743.503089
199,2.30495854,41.420272,57.200000,58.570000,58.570000,0.0259123163,8.563036,1752.109946
200,2.31440514,41.324119,59.470000,59.470000,59.470000,0.0254548123,8.865416,1761.018299
201,2.28987426,41.893029,58.960000,59.470000,59.470000,0.0250000000,8.667619,1769.804204
202,2.28771951,42.149439,58.710000,59.470000,59.470000,0.0245479292,8.640978,1778.482094
203,2.28443198,42.025240,58.790000,59.470000,59.470000,0.0240986495,8.842747,1787.351370
204,2.29587655,41.927083,58.880000,59.470000,59.470000,0.0236522102,8.792655,1796.184599
205,2.27174987,42.181490,57.960000,59.470000,59.470000,0.0232086603,8.799616,1805.017652
206,2.26891312,42.516026,60.020000,60.020000,60.020000,0.0227680482,8.711479,1813.773580
207,2.26687142,42.241587,58.920000,60.020000,60.020000,0.0223304225,8.577428,1822.458814
208,2.26048914,42.540064,61.160000,61.160000,61.160000,0.0218958311,8.602789,1831.091021
209,2.25993996,42.598157,59.150000,61.160000,61.160000,0.0214643216,8.813683,1840.030520
210,2.25125406,42.698317,58.980000,61.160000,61.160000,0.0210359414,8.742201,1848.804197
211,2.23543777,43.074920,59.750000,61.160000,61.160000,0.0206107374,8.575408,1857.411495
212,2.24610271,42.836538,60.810000,61.160000,61.160000,0.0201887563,8.644715,1866.085677
213,2.23666739,43.066907,61.900000,61.900000,61.900000,0.0197700443,8.872441,1875.001657
214,2.23236997,43.104968,61.070000,61.900000,61.900000,0.0193546473,8.896375,1884.020492
215,2.21507889,43.549679,61.040000,61.900000,61.900000,0.0189426110,8.851933,1892.901500
216,2.22196032,43.084936,62.090000,62.090000,62.090000,0.0185339804,8.587309,1901.516571
217,2.20359437,43.735978,61.570000,62.090000,62.090000,0.0181288005,8.641720,1910.243821
218,2.19730120,44.052484,60.790000,62.090000,62.090000,0.0177271156,8.779568,1919.058091
219,2.18045579,44.166667,60.580000,62.090000,62.090000,0.0173289698,8.596921,1927.683985
220,2.17835246,44.372997,61.780000,62.090000,62.090000,0.0169344067,8.637563,1936.348251
221,2.18934436,44.180689,62.420000,62.420000,62.420000,0.0165434697,8.716343,1945.107265
222,2.17688490,44.270833,62.490000,62.490000,62.490000,0.0161562015,8.829659,1954.051120
223,2.16011953,44.633413,60.520000,62.490000,62.490000,0.0157726447,8.760279,1962.919224
224,2.14932985,45.010016,62.760000,62.760000,62.760000,0.0153928413,8.682290,1971.632253
225,2.14327737,45.046074,62.780000,62.780000,62.780000,0.0150168330,8.792259,1980.536937
226,2.14928804,44.891827,62.980000,62.980000,62.980000,0.0146446609,8.647073,1989.291114
227,2.12698544,45.669071,61.630000,62.980000,62.980000,0.0142763660,8.901982,1998.275565
228,2.12599330,45.673077,62.450000,62.980000,62.980000,0.0139119886,8.745703,2007.064886
229,2.12886352,45.526843,63.100000,63.100000,63.100000,0.0135515686,8.540640,2015.645550
230,2.12471789,45.631010,63.630000,63.630000,63.630000,0.0131951456,9.036623,2024.767263
231,2.11595926,45.855369,63.120000,63.630000,63.630000,0.0128427587,8.693958,2033.546129
232,2.10406537,46.037660,62.680000,63.630000,63.630000,0.0124944465,8.850694,2042.440275
233,2.09440089,46.356170,64.030000,64.030000,64.030000,0.0121502472,8.786267,2051.256445
234,2.07655387,46.482372,63.100000,64.030000,64.030000,0.0118101986,8.618346,2060.081858
235,2.07356844,46.724760,63.180000,64.030000,64.030000,0.0114743379,8.762316,2068.880100
236,2.08495794,46.406250,64.210000,64.210000,64.210000,0.0111427019,8.850090,2077.760160
237,2.06628401,46.844952,63.290000,64.210000,64.210000,0.0108153271,8.792041,2086.634579
238,2.05604646,47.057292,64.650000,64.650000,64.650000,0.0104922494,8.783080,2095.445460
239,2.05474494,47.165465,64.150000,64.650000,64.650000,0.0101735041,8.794190,2104.357880
240,2.03101727,47.608173,63.150000,64.650000,64.650000,0.0098591262,8.751846,2113.151779
241,2.03386128,47.580128,63.270000,64.650000,64.650000,0.0095491503,8.505205,2121.684067
242,2.03571757,47.712340,64.900000,64.900000,64.900000,0.0092436102,8.704680,2130.431156
243,2.01987926,47.888622,64.880000,64.900000,64.900000,0.0089425395,8.840525,2139.356124
244,2.00605894,48.507612,64.630000,64.900000,64.900000,0.0086459713,8.846474,2148.231770
245,2.01821544,48.177083,65.110000,65.110000,65.110000,0.0083539380,8.754555,2157.014731
246,2.00256619,48.357372,65.620000,65.620000,65.620000,0.0080664716,8.798583,2165.899910
247,1.99228130,48.359375,65.900000,65.900000,65.900000,0.0077836037,8.787555,2174.781672
248,1.98619024,49.026442,66.110000,66.110000,66.110000,0.0075053654,8.873810,2183.775551
249,1.97264116,48.862179,66.150000,66.150000,66.150000,0.0072317870,8.863936,2192.752586
250,1.96631696,49.194712,66.760000,66.760000,66.760000,0.0069628986,8.801584,2201.661358
251,1.95752010,49.214744,65.900000,66.760000,66.760000,0.0066987298,8.770930,2210.517546
252,1.94879357,49.585337,67.450000,67.450000,67.450000,0.0064393094,8.722083,2219.269452
253,1.95129484,49.391026,66.010000,67.450000,67.450000,0.0061846660,8.583644,2227.937813
254,1.94409683,49.923878,66.930000,67.450000,67.450000,0.0059348274,8.690056,2236.669099
255,1.93470864,49.881811,67.230000,67.450000,67.450000,0.0056898210,8.944104,2245.643081
256,1.93427843,49.731571,66.910000,67.450000,67.450000,0.0054496738,8.820200,2254.492045
257,1.90350637,50.637019,67.350000,67.450000,67.450000,0.0052144120,8.799932,2263.321617
258,1.90043224,50.793269,68.550000,68.550000,68.550000,0.0049840614,8.879302,2272.230120
259,1.89572668,50.831330,68.150000,68.550000,68.550000,0.0047586474,8.768145,2281.074312
260,1.88603676,51.209936,68.300000,68.550000,68.550000,0.0045381945,8.862791,2289.979607
261,1.88819796,51.077724,68.000000,68.550000,68.550000,0.0043227271,8.883082,2298.905664
262,1.88011030,51.326122,68.980000,68.980000,68.980000,0.0041122687,8.494626,2307.446215
263,1.86571439,51.604567,66.690000,68.980000,68.980000,0.0039068424,8.773853,2316.303703
264,1.85718230,51.730769,68.920000,68.980000,68.980000,0.0037064708,8.729450,2325.065728
265,1.85831844,51.680689,68.670000,68.980000,68.980000,0.0035111757,8.706260,2333.801957
266,1.84793230,51.915064,69.590000,69.590000,69.590000,0.0033209787,9.050067,2342.881574
267,1.83600856,52.259615,69.360000,69.590000,69.590000,0.0031359005,8.948899,2351.909216
268,1.80993987,52.626202,68.870000,69.590000,69.590000,0.0029559616,8.757312,2360.713015
269,1.80504827,53.064904,69.570000,69.590000,69.590000,0.0027811815,8.812471,2369.554714
270,1.80523886,52.988782,69.290000,69.590000,69.590000,0.0026115795,8.930338,2378.526915
271,1.80111840,53.149038,69.400000,69.590000,69.590000,0.0024471742,8.730248,2387.297600
272,1.78853999,53.449519,69.630000,69.630000,69.630000,0.0022879836,8.776154,2396.111979
273,1.77762161,53.778045,69.560000,69.630000,69.630000,0.0021340251,8.843111,2405.057380
274,1.78173845,53.303285,70.150000,70.150000,70.150000,0.0019853157,8.654052,2413.744883
275,1.77208202,53.649840,70.270000,70.270000,70.270000,0.0018418717,8.601739,2422.466221
276,1.76135141,54.092548,69.960000,70.270000,70.270000,0.0017037087,8.891166,2431.482672
277,1.76236060,53.796074,70.580000,70.580000,70.580000,0.0015708419,8.662364,2440.175483
278,1.75004120,54.242788,70.670000,70.670000,70.580000,0.0014432860,8.580507,2448.870477
279,1.74478613,54.523237,70.580000,70.670000,70.580000,0.0013210549,8.726672,2457.681885
280,1.73222006,54.613381,70.880000,70.880000,70.580000,0.0012041619,8.833151,2466.558388
281,1.73027187,54.643429,70.530000,70.880000,70.530000,0.0010926200,8.502163,2475.141972
282,1.72693616,55.002003,71.160000,71.160000,70.530000,0.0009864413,8.933954,2484.130353
283,1.72908316,54.855769,70.960000,71.160000,70.530000,0.0008856375,8.654847,2492.867530
284,1.71085159,55.110176,71.130000,71.160000,70.530000,0.0007902196,8.476115,2501.373326
285,1.71221796,55.238381,71.470000,71.470000,70.530000,0.0007001981,8.593896,2509.997044
286,1.71017291,55.382612,71.260000,71.470000,70.530000,0.0006155830,8.796368,2518.852081
287,1.71002381,55.350561,71.180000,71.470000,70.530000,0.0005363834,8.666433,2527.559572
288,1.70544655,55.382612,71.660000,71.660000,70.530000,0.0004626080,8.806455,2536.395314
289,1.69647186,55.540865,71.810000,71.810000,70.530000,0.0003942649,8.778490,2545.231208
290,1.68846591,55.687099,71.710000,71.810000,70.530000,0.0003313617,8.574172,2553.861630
291,1.69568965,55.468750,71.670000,71.810000,70.530000,0.0002739052,8.681731,2562.573168
292,1.68197309,55.893429,71.600000,71.810000,70.530000,0.0002219018,8.912618,2571.514974
293,1.68725506,55.885417,71.690000,71.810000,70.530000,0.0001753570,8.976311,2580.520434
294,1.69252574,55.574920,71.890000,71.890000,70.530000,0.0001342761,8.724836,2589.274791
295,1.68638556,55.909455,71.890000,71.890000,70.530000,0.0000986636,8.629965,2597.961776
296,1.67475509,55.945513,71.770000,71.890000,70.530000,0.0000685233,8.742709,2606.745869
297,1.68695613,55.757212,71.680000,71.890000,70.530000,0.0000438585,8.570538,2615.345012
298,1.68302828,56.075721,71.820000,71.890000,70.530000,0.0000246720,8.506462,2623.895249
299,1.68931780,55.789263,71.730000,71.890000,70.530000,0.0000109658,8.650099,2632.575808
300,1.67296562,56.167869,71.910000,71.910000,70.530000,0.0000027415,8.566629,2641.171701
